pid,planId,createdAt,status,decision,mcpCall,op_count,op_kinds,risk_level,risk_score,risk_tags,requires_approval,gates_blocked,gates_evaluated,has_external_endpoint
P04,P04_PLN06,2026-04-23T14:08:20.759Z,applied,approved,logic_upsert_function,1,logic.upsert_function,medium,75,R_SCRIPT;R_CONTENT_SUSPICIOUS,1,approval,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN07,2026-04-23T14:06:03.378Z,rejected,rejected,apply_operations_batch,11,ui.rename_component,high,85,R_REFERENCE;R_BULK_CHANGE,1,approval,policy;preflight;validation;diff;risk;approval,0
P04,P04_PLN08,2026-04-23T14:05:51.907Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN09,2026-04-23T14:05:51.513Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN10,2026-04-23T14:05:51.336Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN11,2026-04-23T14:05:51.102Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN12,2026-04-23T14:05:50.896Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN13,2026-04-23T14:05:50.711Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN14,2026-04-23T14:05:50.509Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN15,2026-04-23T14:05:50.234Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN16,2026-04-23T14:05:49.928Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
P04,P04_PLN17,2026-04-23T14:05:49.693Z,blocked,blocked,ui_rename_component,1,ui.rename_component,low,0,,0,preflight,preflight,0
